episode_num,timestep,episode_reward,episode_length
0,399,0,400
1,799,0,400
2,800,50,1
3,806,50,6
4,807,50,1
5,1207,0,400
6,1208,50,1
7,1209,50,1
8,1340,50,131
9,1355,50,15
10,1755,0,400
11,2155,0,400
12,2156,50,1
13,2157,50,1
14,2557,0,400
15,2560,50,3
16,2561,50,1
17,2562,50,1
18,2676,50,114
19,2677,50,1
20,3077,0,400
21,3078,50,1
22,3079,50,1
23,3080,50,1
24,3081,50,1
25,3082,50,1
26,3083,50,1
27,3084,50,1
28,3085,50,1
29,3086,50,1
30,3087,50,1
31,3088,50,1
32,3089,50,1
33,3489,0,400
34,3490,50,1
35,3491,50,1
36,3492,50,1
37,3493,50,1
38,3494,50,1
39,3495,50,1
40,3496,50,1
41,3497,50,1
42,3897,0,400
43,3898,50,1
44,3899,50,1
45,3900,50,1
46,3901,50,1
47,3902,50,1
48,3903,50,1
49,3904,50,1
50,3905,50,1
51,3906,50,1
52,3907,50,1
53,3908,50,1
54,3909,50,1
55,3910,50,1
56,3911,50,1
57,3912,50,1
58,3913,50,1
59,3914,50,1
60,3915,50,1
61,3916,50,1
62,3917,50,1
63,3918,50,1
64,3919,50,1
65,3920,50,1
66,3921,50,1
67,3922,50,1
68,3923,50,1
69,3924,50,1
70,3925,50,1
71,3926,50,1
72,3927,50,1
73,3928,50,1
74,3929,50,1
75,3930,50,1
76,3931,50,1
77,3932,50,1
78,3933,50,1
79,3934,50,1
80,3935,50,1
81,3936,50,1
82,3937,50,1
83,3938,50,1
84,3939,50,1
85,3940,50,1
86,3941,50,1
87,3942,50,1
88,3943,50,1
89,3944,50,1
90,3945,50,1
91,3946,50,1
92,3947,50,1
93,3948,50,1
94,3949,50,1
95,3950,50,1
96,3951,50,1
97,3952,50,1
98,4352,0,400
99,4353,50,1
100,4354,50,1
101,4355,50,1
102,4356,50,1
103,4357,50,1
104,4358,50,1
105,4359,50,1
106,4360,50,1
107,4361,50,1
108,4362,50,1
109,4363,50,1
110,4364,50,1
111,4365,50,1
112,4366,50,1
113,4367,50,1
114,4767,0,400
115,4768,50,1
116,4769,50,1
117,4770,50,1
118,4771,50,1
119,4772,50,1
120,4773,50,1
121,4774,50,1
122,4775,50,1
123,4776,50,1
124,4777,50,1
125,4778,50,1
126,4779,50,1
127,4780,50,1
128,4781,50,1
129,4782,50,1
130,4783,50,1
131,4784,50,1
132,4785,50,1
133,4786,50,1
134,4787,50,1
135,4788,50,1
136,4789,50,1
137,4790,50,1
138,4791,50,1
139,4792,50,1
140,4793,50,1
141,4794,50,1
142,4795,50,1
143,4796,50,1
144,4797,50,1
145,4798,50,1
146,4799,50,1
147,4800,50,1
148,4801,50,1
149,4802,50,1
150,4803,50,1
151,4804,50,1
152,4805,50,1
153,4806,50,1
154,4807,50,1
155,4808,50,1
156,4809,50,1
157,4810,50,1
158,4811,50,1
159,4812,50,1
160,4813,50,1
161,4814,50,1
162,4815,50,1
163,4816,50,1
164,4817,50,1
